medianage,population,countystate,county,state,voteproportion,landarea,income,nonenglish,unemployment,bachelorsdegree,white,black,nativea,asian,pacifici,hispanic,veteran,disability%,manufacturing,agriculture,mining,nonengproportion,popdensity,veteran%,mining/capita,agriculture/capita,manufacturing/capita,popdensityroot,incomeroot,medianageroot,veteran%root,disability%root,mining/capitaroot,agriculture/capitaroot,manufacturing/capitaroot
36.4,226349,"Montgomery County, Alabama",Montgomery,Alabama,0.35464861594943575,784.25,27781,12527.0,7.2,18.9,36.1,57.4,0.1,2.5,0.0,3.3,15035,15.3,12837.0,44.0,0.0,0.05534373909317028,288.61842524705133,0.0664239735982929,0.0,0.00019439007903723895,0.05671330555911446,1.7621075227595027,2.7821131400556673,1.432551152419152,0.7624870731047774,1.313618158180941,0.0,0.10546849751588944,0.7505307598168234
40.7,119012,"Morgan County, Alabama",Morgan,Alabama,0.7401863991785799,579.34,24153,150610.92631578946,5.1,13.2,78.6,12.1,0.6,0.9,0.0,8.1,6428,17.7,9350.0,271.0,0.0,0.1860912928565291,205.42686505333654,0.054011360198971535,0.0,0.0022770813027257757,0.07856350620105536,1.7032002958124064,2.7434503704788007,1.4486365580056046,0.7468760126238392,1.3328992593478532,0.0,0.22417408254056853,0.7753933744206323
40.3,88019,"St. Clair County, Alabama",St. Clair,Alabama,0.8242447916666666,631.9,23687,150610.92631578946,5.0,12.2,78.93400267737621,10.227978580990621,1.0864792503346754,3.3942436412315926,0.161579651941097,2.4,6403,15.4,6143.0,131.0,326.0,0.1860912928565291,139.292609590125,0.07274565718765266,0.00370374578216067,0.0014883150228927845,0.06979174950862882,1.6382976469156634,2.7381107227860064,1.4472065005422272,0.7694505371528728,1.3144742173266974,0.22129985915386752,0.2015182209738507,0.7662675043563034
38.9,210622,"Shelby County, Alabama",Shelby,Alabama,0.7211566950441464,784.93,34279,150610.92631578946,3.9,27.7,80.0,11.4,0.1,2.2,0.1,5.7,13411,12.6,6473.0,455.0,387.0,0.1860912928565291,268.3322079675895,0.06367331048038666,0.0018374148949302541,0.0021602681581221334,0.03073278195060345,1.749312020477166,2.8412065970872367,1.4420986162719,0.7592691301984523,1.2883594713366657,0.18262398950408987,0.22131587840658523,0.7059276413043161
40.8,80103,"Talladega County, Alabama",Talladega,Alabama,0.617056305564702,736.78,21396,150610.92631578946,7.8,9.8,64.7,33.2,0.1,0.7,0.0,2.2,5680,19.4,4802.0,254.0,126.0,0.1860912928565291,108.72037786041967,0.07090870504225809,0.0015729747949515,0.003170917443791119,0.05994781718537383,1.5981998858552713,2.7103991903752247,1.4489920954403341,0.7674851046107991,1.3451792917779077,0.17441146310753264,0.24249477611575593,0.754705191459968
32.9,206102,"Tuscaloosa County, Alabama",Tuscaloosa,Alabama,0.577061668681983,1321.76,25026,150610.92631578946,7.4,17.1,64.0,32.1,0.0,1.7,0.0,3.5,10762,14.3,14379.0,333.0,463.0,0.1860912928565291,155.92997215833435,0.05221686349477443,0.002246460490436774,0.0016157048451737488,0.0697664263325926,1.6568872657970672,2.753208768406501,1.4181415768793202,0.7443566594152305,1.3047689218633443,0.19343784386360763,0.20581891262923896,0.7662396966339574
41.8,64967,"Walker County, Alabama",Walker,Alabama,0.82335776330076,791.19,19724,150610.92631578946,13.1,6.7,78.93400267737621,10.227978580990621,1.0864792503346754,3.3942436412315926,0.161579651941097,2.5,3656,26.1,2518.0,359.0,576.0,0.1860912928565291,82.11301962866062,0.056274724090692195,0.008866039681684548,0.0055258823710499175,0.03875813874736404,1.5539648904079317,2.688434744086474,1.452504973672294,0.7499483214886132,1.3856835162408707,0.2734088554308567,0.27462089134182927,0.7224974045613431
34.6,73112,"Apache County, Arizona",Apache,Arizona,0.2978923393948158,11197.52,14415,150610.92631578946,10.9,6.9,22.1,0.2,73.2,0.1,0.1,5.9,2862,13.6,596.0,270.0,42.0,0.1860912928565291,6.529302917074495,0.039145420724368094,0.0005744611007768903,0.0036929642192800086,0.008151876572929205,1.206387092076882,2.605442329563579,1.4253043476384446,0.7232161180082712,1.2982367261521606,0.12416125379245119,0.2511333361461289,0.6181953863259848
40.8,125770,"Cochise County, Arizona",Cochise,Arizona,0.5616714985504349,6165.69,23220,35073.0,7.6,15.5,87.4,4.0,1.5,2.2,0.3,35.0,17341,15.7,1163.0,911.0,179.0,0.27886618430468313,20.398365795231353,0.13787866740876203,0.0014232328854257772,0.007243380774429514,0.009247038244414408,1.3519465988604735,2.7326639124437966,1.4489920954403341,0.8202565512945533,1.3170127071019317,0.1691915278010171,0.2909337696210435,0.6260373802206399
30.9,140908,"Coconino County, Arizona",Coconino,Arizona,0.35307105580088316,18618.89,23754,30411.0,8.7,20.5,64.7,1.5,26.3,1.9,0.1,13.8,6163,11.2,3810.0,930.0,16.0,0.21582167087745197,7.5680129159149665,0.04373775796973912,0.00011354926618786726,0.006600051097169784,0.02703891901098589,1.2243291408194297,2.738884228621203,1.4092753250290018,0.7312832931949996,1.2732737985986746,0.05319805941750283,0.2852777782021689,0.6969456832480518
36.2,4242997,"Maricopa County, Arizona",Maricopa,Arizona,0.4766837560609095,9200.14,30363,1064327.0,5.4,20.4,76.1,5.4,1.9,4.0,0.2,30.7,251005,11.3,150912.0,9321.0,2351.0,0.25084321294594364,461.18830800400866,0.05915747760368438,0.0005540894796767473,0.0021967962739544715,0.03556731244448205,1.8466637703410256,2.8069486511932884,1.4317620834358948,0.7537042510626897,1.274406108160476,0.12245232488198565,0.22222430195400128,0.7163167473568933
50.6,205249,"Mohave County, Arizona",Mohave,Arizona,0.7290444441664686,13311.08,24529,19670.0,9.6,7.3,91.3,0.8,2.4,1.0,0.1,16.2,22372,23.9,4377.0,301.0,265.0,0.09583481527315602,15.419409995282125,0.10899931302953973,0.0012911146948340795,0.0014665114080945583,0.021325317053919872,1.314639798359326,2.7476915890459717,1.4805226356409265,0.8012026481827423,1.373535188615005,0.16415786366869556,0.2007491198272094,0.6805962465795231
36.3,110026,"Navajo County, Arizona",Navajo,Arizona,0.5106715640045665,9950.42,17034,40748.0,12.6,8.6,45.9,0.7,44.5,0.8,0.0,11.2,7379,19.1,1177.0,449.0,578.0,0.3703488266409758,11.057422701755304,0.06706596622616473,0.00525330376456474,0.004080853616417937,0.010697471506734772,1.2716435453675656,2.6493032014408877,1.4321571070205148,0.7632208367936277,1.343084498797998,0.24162055074518274,0.25686621105968205,0.635225778036106
38.3,1016206,"Pima County, Arizona",Pima,Arizona,0.3970875628498245,9187.04,26700,272986.0,8.1,18.0,76.2,3.4,3.2,2.8,0.2,36.8,85480,15.6,27254.0,1850.0,3008.0,0.26863254103990725,110.61299395670422,0.08411680308913744,0.0029600297577459687,0.0018204970252094555,0.026819365364896486,1.6009604923043064,2.771093158590118,1.43985870841644,0.7807073640279308,1.3161714313804664,0.2086368854252929,0.2121315358088693,0.6963776909547071
39.2,418540,"Pinal County, Arizona",Pinal,Arizona,0.5621092121717383,5365.61,22452,81238.0,8.8,13.1,80.7,4.5,5.2,2.0,0.3,29.4,35852,15.7,11758.0,2828.0,1177.0,0.19409853299565155,78.00417846246746,0.08565967410522292,0.0028121565441773786,0.0067568213312945,0.028092894347015816,1.5460081773774585,2.7234882338643507,1.443206933659511,0.7821276541706162,1.3170127071019317,0.20578132433345164,0.28670034724852406,0.6996158638578276
53.1,225562,"Yavapai County, Arizona",Yavapai,Arizona,0.6232415902140673,8123.5,28396,21948.0,5.3,13.7,93.1,0.5,1.5,1.0,0.1,14.4,26548,18.0,5814.0,804.0,822.0,0.09730362383734849,27.766603065181265,0.11769712983569927,0.0036442308544879015,0.003564430178842181,0.02577561823356771,1.3942873116131766,2.7882115169043686,1.4876797520107663,0.8073773975729478,1.335141362540313,0.22037513961068977,0.24911366187656409,0.6936188850135129
34.8,205631,"Yuma County, Arizona",Yuma,Arizona,0.47472175061309185,5513.99,20845,101562.0,10.6,10.2,54.8,1.8,1.4,1.3,0.1,62.8,17860,11.7,3137.0,7883.0,350.0,0.49390412924121363,37.292595742828695,0.08685460849774597,0.0017020779940767686,0.0383356595065919,0.015255481906910923,1.4360258618936077,2.70333700871289,1.4261260877681978,0.7832119166886713,1.2788469916185308,0.1785644445571617,0.40170596348165327,0.6581768352898176
35.4,258291,"Benton County, Arkansas",Benton,Arkansas,0.628676774353466,847.36,30977,30027.0,1.7,22.2,88.5,1.5,1.0,3.6,0.5,16.4,16419,9.7,16686.0,609.0,379.0,0.11625259881296678,304.8184950906344,0.06356783627768679,0.0014673372281651315,0.0023578057307455545,0.06460155406111712,1.77175689465815,2.812573856462507,1.4285660544033094,0.75914326417393,1.2550966587609054,0.1707784367582924,0.22607312329477297,0.7603688144964509
34.5,105835,"Craighead County, Arkansas",Craighead,Arkansas,0.6435217721305484,707.21,25491,150610.92631578946,9.4,15.3,79.5,14.4,0.0,1.3,0.0,4.9,6660,22.6,7991.0,838.0,76.0,0.1860912928565291,149.651447236323,0.06292814286389191,0.0007180989275759437,0.007917985543534747,0.07550432276657061,1.6500917468298373,2.7582821396165835,1.4248918732258955,0.7583758443886119,1.3658746472205552,0.13486231176074454,0.29639835417040666,0.7723198224837926
33.1,122227,"Faulkner County, Arkansas",Faulkner,Arkansas,0.617459549308814,647.88,24526,150610.92631578946,3.6,17.1,82.1,10.4,0.2,1.1,0.6,4.0,7631,13.3,6026.0,193.0,252.0,0.1860912928565291,188.6568500339569,0.06243301398218069,0.002061737586621614,0.0015790291834046487,0.04930170911500732,1.6887573720239597,2.747657981771009,1.4190013197563158,0.7577770186000584,1.2953441380589512,0.18879472955924648,0.20461296060355166,0.7400928311966863
44.0,97477,"Garland County, Arkansas",Garland,Arkansas,0.6393089082220316,677.78,24263,150610.92631578946,7.6,12.5,86.4,8.7,1.0,1.1,0.0,5.4,8009,17.5,3994.0,213.0,197.0,0.1860912928565291,143.81805305556375,0.08216297177795788,0.002020989566769597,0.0021851308513803256,0.04097376817095315,1.6435440199278717,2.744697266687573,1.4599744906233632,0.778874730336334,1.331385445092909,0.18772026891260118,0.22193567976696366,0.7265250459359747
39.0,70016,"Jefferson County, Arkansas",Jefferson,Arkansas,0.35722561211091375,870.75,20521,150610.92631578946,8.1,12.4,40.7,57.4,0.1,0.4,0.0,2.0,4069,22.8,3882.0,142.0,23.0,0.1860912928565291,80.4088429514786,0.05811528793418647,0.0003284963436928702,0.002028107861060329,0.05544446983546618,1.5507092636327977,2.6991054494749886,1.4424689075546286,0.7523657889400833,1.3670785990922676,0.09838704265712744,0.2179093642905791,0.748834463232903
36.4,72228,"Lonoke County, Arkansas",Lonoke,Arkansas,0.7364575645756457,770.73,24910,150610.92631578946,3.2,13.6,88.5,5.4,0.4,1.4,0.0,4.4,5684,14.7,2131.0,1150.0,0.0,0.1860912928565291,93.71375189755167,0.07869524284211109,0.0,0.015921803178822618,0.029503793542670433,1.5746365667266256,2.7519299370483328,1.432551152419152,0.7755232957135576,1.3083734825286597,0.0,0.34099659925139897,0.7030525471699479
36.8,393250,"Pulaski County, Arkansas",Pulaski,Arkansas,0.3833930002002804,759.76,30403,29763.0,4.8,21.0,55.5,36.2,0.2,2.2,0.0,6.1,25823,15.1,10852.0,179.0,143.0,0.07568467895740623,517.5976624197115,0.06566560712015257,0.0003636363636363636,0.0004551811824539097,0.027595677050222506,1.8680961725177272,2.807318217573933,1.4341176535418658,0.7616120319113425,1.3118908249671954,0.10296717428754903,0.14325320213806814,0.6983676367140812
41.0,118703,"Saline County, Arkansas",Saline,Arkansas,0.6883493282149712,723.6,28718,150610.92631578946,3.6,18.5,89.9,7.1,0.7,1.0,0.0,4.5,7906,14.8,5540.0,40.0,16.0,0.1860912928565291,164.04505251520177,0.06660320295190518,0.0001347901906438759,0.00033697547660968975,0.04667110351044203,1.6653146924631352,2.791357225452946,1.4497008237135636,0.7626925627882564,1.3092608195551876,0.060171828497069646,0.12953118967282995,0.7360457458968336
37.8,127793,"Sebastian County, Arkansas",Sebastian,Arkansas,0.6525304119900531,531.91,22780,150610.92631578946,4.7,11.7,72.9,6.8,1.5,4.3,0.1,13.9,9105,18.0,10028.0,426.0,311.0,0.1860912928565291,240.25305032806304,0.07124803392987096,0.002433623124897295,0.0033335159202773235,0.0784706517571385,1.7300828100144239,2.7274410456565423,1.4379678624449226,0.7678515909809764,1.335141362540313,0.19780416808189227,0.24531466706472832,0.7753016816669006
31.5,228049,"Washington County, Arkansas",Washington,Arkansas,0.5066637348676415,941.97,25702,38627.0,3.1,18.2,76.5,3.8,1.0,2.4,2.2,16.4,11830,10.8,16910.0,944.0,65.0,0.16938026476765958,242.09794367124218,0.051874816377182095,0.00028502646361089064,0.004139461256133551,0.07415073076400247,1.7314067649732499,2.7605568286375117,1.4119881611527285,0.7438676245171811,1.2686516117514892,0.0920674296710095,0.25768937798365904,0.770923959939316
35.8,79263,"White County, Arkansas",White,Arkansas,0.7743488004702598,1035.08,21251,150610.92631578946,5.9,10.7,78.93400267737621,10.227978580990621,1.0864792503346754,3.3942436412315926,0.161579651941097,4.2,5734,13.4,2650.0,546.0,408.0,0.1860912928565291,76.57668972446575,0.07234144556728865,0.005147420612391658,0.006888459937171189,0.03343300152656346,1.543155385598588,2.708556735790385,1.4301721038041693,0.769021918739987,1.2963148013310097,0.2404171522678097,0.287872104223224,0.7118976131144776
37.4,1647704,"Alameda County, California",Alameda,California,0.14661009436528874,739.02,42376,714035.0,4.5,26.3,41.8,10.6,0.6,29.4,0.8,22.5,50979,9.6,80512.0,2031.0,258.0,0.4333515000267038,2229.579713674867,0.030939416302928197,0.0001565815219238407,0.0012326243063074435,0.04886314532221807,2.161833788654979,2.902097479412148,1.4364389083975462,0.7064008475008793,1.2537967024973569,0.06636484256981479,0.1917797204535055,0.7394318306533881
38.1,226864,"Butte County, California",Butte,California,0.47239546272654975,1636.46,25938,34647.0,8.6,15.5,82.8,1.6,1.1,4.7,0.4,16.0,15552,18.6,6636.0,3958.0,90.0,0.1527214542633472,138.63094728865966,0.06855208406798786,0.00039671344946752237,0.017446575922138375,0.029251005007405316,1.637517760661981,2.7630812042388913,1.4391050512776031,0.7648954301389512,1.3395264528001418,0.10692791636826787,0.34706940221576016,0.7024478364698187
39.5,1135127,"Contra Costa County, California",Contra Costa,California,0.24873920737920308,715.94,43120,380701.0,5.9,25.8,58.0,8.6,0.3,16.2,0.4,25.4,51096,11.6,35442.0,2284.0,390.0,0.33538185595092,1585.50576863983,0.04501346545364528,0.0003435738908509797,0.0020121096582144554,0.031222938050103646,2.089376870079669,2.9071529092607635,1.4443076433507491,0.7333887520609602,1.277749733135526,0.10040376823237773,0.21748353467435383,0.7070455231084598
46.1,185625,"El Dorado County, California",El Dorado,California,0.5261937579468111,1707.88,39284,24418.0,6.5,21.1,87.5,1.0,1.3,4.8,0.2,12.8,14317,15.0,4714.0,1077.0,224.0,0.13154478114478113,108.68737850434457,0.07712861952861953,0.0012067340067340067,0.005802020202020202,0.025395286195286196,1.5981513698612726,2.8801928653116757,1.4667972685059134,0.7739654174266916,1.31101942303975,0.16069446999677017,0.2775275358473011,0.692588555925037
32.1,979915,"Fresno County, California",Fresno,California,0.43939302703679173,5957.99,22518,408452.0,9.5,13.2,65.4,4.9,1.0,10.4,0.1,52.8,37369,12.2,28261.0,31267.0,724.0,0.41682390819611903,164.47073593611267,0.03813494027543205,0.000738839593230025,0.03190786956011491,0.02884025655286428,1.6657463241485335,2.724287774607368,1.4146548838580009,0.7213271967846299,1.284209809779432,0.13624485164577343,0.38858145338647193,0.7014551561884382
37.9,136646,"Humboldt County, California",Humboldt,California,0.3101137629544611,3567.99,26990,12610.0,8.7,20.3,81.1,0.9,5.3,3.1,0.0,11.3,9160,17.1,2685.0,2776.0,22.0,0.09228224755938703,38.29775307666221,0.06703452717240169,0.00016099995609092106,0.02031526718674531,0.019649312822914683,1.4398502610599164,2.774088349724465,1.4383478251059434,0.7631850511254108,1.328310516451139,0.06752508754404218,0.35730183752918593,0.6750481271213599
32.5,180883,"Imperial County, California",Imperial,California,0.26416585223846456,4176.6,17180,128534.0,13.7,9.5,61.3,2.3,1.0,1.5,0.2,83.8,5210,13.6,2665.0,5409.0,127.0,0.7105919295898454,43.30867212565244,0.028803148996865376,0.0007021113095205188,0.029903307662964458,0.014733280628914823,1.4576641969975488,2.6515652328961226,1.4164078860810128,0.7013648505783172,1.2982367261521606,0.1337718534375853,0.38399880656025037,0.6558883940196432
31.3,884788,"Kern County, California",Kern,California,0.530727423893055,8131.92,21313,365365.0,11.4,11.2,72.6,5.4,1.3,4.6,0.4,52.8,39962,11.0,18237.0,40241.0,11799.0,0.4129407270442185,108.80431681570896,0.04516562159522959,0.013335397858017966,0.045480951369141535,0.0206117171571043,1.5983232340685987,2.709345924306796,1.4110890889556005,0.7336362784944903,1.2709816152101407,0.29938252533326637,0.41414687427640834,0.678283757585135
31.8,149785,"Kings County, California",Kings,California,0.5334807607253428,1389.42,20471,59266.0,6.8,7.9,66.6,6.7,1.4,3.5,0.3,54.2,7846,12.3,5377.0,7028.0,308.0,0.39567379911206063,107.8039757596695,0.05238174717094502,0.002056280668958841,0.04692058617351537,0.035898120639583406,1.5968476289320452,2.698447082576314,1.4133271830894187,0.7445913694408961,1.2852585781526005,0.18865195357142917,0.4164382594775266,0.7169802145930764
46.5,64116,"Lake County, California",Lake,California,0.4326828870019595,1256.46,25347,150610.92631578946,5.745559845559846,10.0,76.9,1.4,4.4,0.5,0.0,20.0,6128,22.5,1342.0,902.0,0.0,0.1860912928565291,51.02908170574471,0.09557676710961382,0.0,0.014068251294528667,0.02093081290161582,1.4817733352082363,2.7567199963177718,1.468065035406925,0.7907427771357477,1.3652690711342126,0.0,0.3328659395010692,0.6793265831346297
36.3,10137915,"Los Angeles County, California",Los Angeles,California,0.22413336252892868,4057.88,30824,5419856.0,6.6,20.5,50.2,8.2,0.6,14.5,0.3,48.5,262306,10.2,473164.0,16789.0,2881.0,0.5346124918190772,2498.327944641044,0.02587376201122223,0.00028418072157835217,0.0016560604424085228,0.04667271327486964,2.1865778508969544,2.8111815872060455,1.4321571070205148,0.6938825373413892,1.2614208848972142,0.09193608215976917,0.20711772280010837,0.7360482846023272
33.6,154697,"Madera County, California",Madera,California,0.5417749118574875,2137.07,20987,67699.0,11.0,7.8,70.9,2.9,2.1,1.8,0.2,57.4,5398,12.6,4802.0,8031.0,59.0,0.43762322475548976,72.38742764626333,0.034894018629966966,0.0003813907186306134,0.05191438748004163,0.03104132594685094,1.5344979563912877,2.7051729508974964,1.4211303935061592,0.7149490589555441,1.2883594713366657,0.10513162324430164,0.42392434869449597,0.7066331808320406
46.1,260651,"Marin County, California",Marin,California,0.15631888449304604,520.31,65958,56610.0,4.2,34.5,76.9,2.3,0.1,5.3,0.2,16.0,10712,8.6,6776.0,884.0,0.0,0.21718696648008257,500.95327785358734,0.04109709918626823,0.0,0.0033915081852745627,0.025996447356810448,1.8620001955863643,3.033379502916889,1.4667972685059134,0.7267434342831791,1.240080405085894,0.0,0.24629051424355236,0.6942108549518489
42.8,87628,"Mendocino County, California",Mendocino,California,0.29052485524455,3506.34,27813,150610.92631578946,10.3,14.8,81.3,0.5,3.6,1.3,0.3,25.0,6489,16.8,2430.0,2524.0,0.0,0.1860912928565291,24.991301471049585,0.07405167298123887,0.0,0.028803578764778383,0.027730862281462546,1.3796816474693996,2.78243343632849,1.4559430139803229,0.7708209104292527,1.325961542416932,0.0,0.38136589706835283,0.6987090000138191
30.9,268672,"Merced County, California",Merced,California,0.4057833844241337,1934.97,21882,128015.0,14.4,8.2,55.6,3.2,0.9,7.9,0.0,58.9,9726,14.1,9903.0,12813.0,0.0,0.47647317174845166,138.85073153588945,0.03620027393997142,0.0,0.04769012029537875,0.036859069795140545,1.6377771862162873,2.7164936949951506,1.4092753250290018,0.7175814208301414,1.3029324823685458,0.0,0.41763725292469606,0.7188767487563757
34.0,435232,"Monterey County, California",Monterey,California,0.2615660230271048,3280.6,27146,219711.0,4.6,14.9,55.8,2.5,0.4,5.7,0.2,58.3,17170,9.0,10410.0,36645.0,63.0,0.5048135247408279,132.66841431445468,0.03945022424821704,0.00014475038600102934,0.08419647452393206,0.023918278067789133,1.6303346312198794,2.7756875949952717,1.4228132198218728,0.7237772825316143,1.2457309396155174,0.06310644734139015,0.46078127741815317,0.68845093018567
41.0,142166,"Napa County, California",Napa,California,0.28369614808055793,748.36,39030,46035.0,4.9,22.6,78.0,1.9,0.8,7.9,0.2,33.9,7009,12.6,9854.0,4063.0,0.0,0.32381160052333186,189.97006788176813,0.049301520757424416,0.0,0.028579266491284835,0.06931333792890002,1.6899292298479975,2.878325167763474,1.4497008237135636,0.7400925484431288,1.2883594713366657,0.0,0.3808177740330277,0.7657406125669812
